"Account","Account Type","Debit","Credit","Balance"
"2111 • เงินให้กู้ยืมระยะยาวแก่บุคคลหรือกิจการที่เกี่ยวข้องกัน","ASSET","0","0","0"
"2201 • ที่ดิน","ASSET","0","0","0"
"2202 • อาคารชุด","ASSET","0","0","0"
"2211 • เครื่องจักรและอุปกรณ์ในการดำเนินงาน","ASSET","0","0","0"
"2212 • เครื่องตกแต่งในการดำเนินงาน","ASSET","0","0","0"
"2221 • เครื่องใช้และอุปกรณ์สำนักงาน","ASSET","0","0","0"
"2222 • เครื่องตกแต่งสำนักงาน","ASSET","0","0","0"
"2223 • รถยนต์","ASSET","0","0","0"
"2231 • สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่","ASSET","0","0","0"
"2232 • สิ่งปรับปรุงสินทรัพย์ - สาขา","ASSET","0","0","0"
"2235 • เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร","ASSET","0","0","0"
"2236 • สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร","ASSET","0","0","0"
"2240 • เครื่องจักรและอุปกรณ์ระหว่างทาง","ASSET","0","0","0"
"2251 • ค่าเสื่อมราคาสะสม - อาคาร","ASSET","0","0","0"
"2261 • ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ในการดำเนินงาน","ASSET","0","0","0"
"2262 • ค่าเสื่อมราคาสะสม - เครื่องตกแต่งในการดำเนินงาน","ASSET","0","0","0"
"2271 • ค่าเสื่อมราคาสะสม - เครื่องใช้และอุปกรณ์สำนักงาน","ASSET","0","0","0"
"2272 • ค่าเสื่อมราคาสะสม - เครื่องตกแต่งสำนักงาน","ASSET","0","0","0"
"2273 • ค่าเสื่อมราคาสะสม - รถยนต์","ASSET","0","0","0"
"2281 • ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่","ASSET","0","0","0"
"2282 • ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สาขา","ASSET","0","0","0"
"2285 • ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร","ASSET","0","0","0"
"2286 • ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร","ASSET","0","0","0"
"3001 • เงินประกันและเงินมัดจำ","ASSET","0","0","0"
"3101 • สิทธิการเช่า","ASSET","0","0","0"
"3201 • ดอกเบี้ยรอการตัดบัญชี","ASSET","0","0","0"
"3301 • ภาษีเงินได้ถูกหักภาษี ณ. ที่จ่าย (รอขอคืนจากกรมสรรพากร)","ASSET","0","0","0"
"2100 • AP","LIABILITY","0","0","0"
"4001 • เงินกู้ยืมระยะสั้นจากสถาบันการเงิน","LIABILITY","0","0","0"
"4002 • ตั๋วเงินจ่าย","LIABILITY","0","0","0"
"4101 • เจ้าหนี้การค้า","LIABILITY","0","0","0"
"4101001 • เจ้าหนี้การค้า-บริษัท เค.ไอ.ที.เทรดดิ้ง จำกัด","LIABILITY","0","0","0"
"4101002 • เจ้าหนี้การค้า-อื่น ๆ","LIABILITY","0","0","0"
"4151 • เจ้าหนี้บริษัทที่เกี่ยวข้องกัน","LIABILITY","0","0","0"
"4201 • เงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี","LIABILITY","0","0","0"
"4202 • เงินกู้ยืมระยะสั้นจากบุคคลหรือกิจการที่เกี่ยวข้องกัน","LIABILITY","0","0","0"
"4301 • เงินปันผลค้างจ่าย","LIABILITY","0","0","0"
"4401 • ภาษีเงินได้นิติบุคคลค้างจ่าย","LIABILITY","0","0","0"
"4501 • เงินเดือนค้างจ่าย","LIABILITY","0","0","0"
"4502 • เงินสะสมพนักงาน","LIABILITY","0","0","0"
"4511 • รายได้รับล่วงหน้า","LIABILITY","0","0","0"
"4521 • ค่าเช่าค้างจ่าย","LIABILITY","0","0","0"
"4531 • ค่าเบี้ยประกันภัยค้างจ่าย","LIABILITY","0","0","0"
"4541 • ค่าโทรศัพท์ ค่าโทรสาร ค้างจ่าย","LIABILITY","0","0","0"
"4551 • ค่าตรวจสอบบัญชีค้างจ่าย","LIABILITY","0","0","0"
"4561 • ค่าใช้จ่ายอื่น ๆ ค้างจ่าย","LIABILITY","0","0","0"
"4571 • ดอกเบี้ยจ่ายค้างจ่าย","LIABILITY","0","0","0"
"4581 • ดอกเบี้ยจ่ายค้างจ่ายบริษัทที่เกี่ยวข้องกัน","LIABILITY","0","0","0"
"4582 • ค่าใช้จ่ายค้างจ่ายบริษัทที่เกี่ยวข้องกัน","LIABILITY","0","0","0"
"4601 • ภาษีขาย","LIABILITY","0","0","0"
"4602 • ภาษีมูลค่าเพิ่มค้างจ่าย (ภ.พ.30)","LIABILITY","0","0","0"
"4611 • ภาษีหัก ณ ที่จ่ายเงินเดือน (ภ.ง.ด.1)","LIABILITY","0","0","0"
"4612 • ภาษีเงินได้ หัก ณ.ที่จ่ายค้างจ่าย","LIABILITY","0","0","0"
"4613 • ภาษีเงินได้นิติบุคคลค้างจ่าย","LIABILITY","0","0","0"
"4621 • ภาษีอากรอื่น ๆ ค้างจ่าย","LIABILITY","0","0","0"
"4631 • ประกันสังคมค้างจ่าย","LIABILITY","0","0","0"
"4701 • เงินกู้ยืมระยะยาวจากบุคคลหรือกิจการที่เกี่ยวข้องกัน","LIABILITY","0","0","0"
"4801 • เจ้าหนี้ตามสัญญาเช่าทางการเงิน","LIABILITY","0","0","0"
"4901 • ภาระผูกพันผลประโยชน์พนักงาน","LIABILITY","0","0","0"
"4911 • ประมาณการหนี้สินระยะยาว","LIABILITY","0","0","0"
"1 • ทุนหุ้นสามัญ","EQUITY","0","0","0"
"101 • สำรองตามกฎหมาย","EQUITY","0","0","0"
"201 • สำรองอื่น","EQUITY","0","0","0"
"301 • กำไร (ขาดทุน) สะสม","EQUITY","0","0","0"
"4000 • Sales revenue","REVENUE","0","200","200"
"5001 • รายได้จากการขาย","REVENUE","0","0","0"
"5002 • รายได้จากการให้เช่าเครื่องจักรและอุปกรณ์","REVENUE","0","0","0"
"5003 • รายได้จากค่าบริการอื่น ๆ","REVENUE","0","0","0"
"5101 • สินค้ารับคืนและส่วนลด","REVENUE","0","0","0"
"5000 • COGS","EXPENSE","20","0","20"
"6001 • ต้นทุนขาย-เครื่องจักรและอุปกรณ์","EXPENSE","0","0","0"
"6002 • ต้นทุนขาย-ลูกกุญแจ","EXPENSE","0","0","0"
"6003 • ต้นทุนขาย-วัสดุรองเท้า","EXPENSE","0","0","0"
"6004 • ต้นทุนขาย-แม่กุญแจ","EXPENSE","0","0","0"
"6005 • ต้นทุนขาย-เบ็ดเตล็ด","EXPENSE","0","0","0"
"6006 • ต้นทุนขาย-วัสดุสิ้นเปลือง","EXPENSE","0","0","0"
"6021 • ต้นทุนขาย-ชิ้นส่วนและอะไหล่","EXPENSE","0","0","0"
"6031 • ต้นทุนขาย-ชิ้นส่วนและอะไหล่","EXPENSE","0","0","0"
"6051 • ซื้อวัสดุและอุปกรณ์","EXPENSE","0","0","0"
"6052 • สินค้าส่งคืนและส่วนลด","EXPENSE","0","0","0"
"6061 • ค่าแรง","EXPENSE","0","0","0"
"6091 • ค่าเผื่อสินค้าล้าสมัย","EXPENSE","0","0","0"
"6101 • ค่าเช่าและค่าบริการ - ร้านที่จำหน่ายสินค้า","EXPENSE","0","0","0"
"6111 • ค่าไฟ - ร้านที่จำหน่ายสินค้า","EXPENSE","0","0","0"
"6121 • ค่าภาษีโรงเรือน - ร้านที่จำหน่ายสินค้า","EXPENSE","0","0","0"
"6131 • ค่าประกันภัย - ร้านที่จำหน่ายสินค้า","EXPENSE","0","0","0"
"6141 • ค่าโทรศัพท์ - ร้านที่จำหน่ายสินค้า","EXPENSE","0","0","0"
"6151 • ค่าใช้จ่ายทางการเงิน - ร้านที่จำหน่ายสินค้า","EXPENSE","0","0","0"
"6161 • ค่าใช้จ่ายอื่น ๆ - ร้านที่จำหน่ายสินค้า","EXPENSE","0","0","0"
"6171 • ค่าใช้จ่ายร้านที่ให้เช่าเครื่องจักร","EXPENSE","0","0","0"
"6201 • เงินเดือน และค่าจ้าง","EXPENSE","0","0","0"
"6201001 • เงินเดือนและค่าจ้าง (สาขา) - เงินเดือน","EXPENSE","0","0","0"
"6201002 • เงินเดือน และค่าจ้าง (สาขา) - ค่าทำงานล่วงเวลา","EXPENSE","0","0","0"
"6201003 • เงินเดือน และค่าจ้าง (สาขา) -โบนัส","EXPENSE","0","0","0"
"6211 • ผลตอบแทนจากยอดขาย","EXPENSE","0","0","0"
"6221 • เงินที่จ่ายสมทบเข้าประกันสังคม","EXPENSE","0","0","0"
"6231 • ค่าใช้จ่ายอื่น ๆ เกี่ยวกับพนักงานขาย","EXPENSE","0","0","0"
"6241 • ค่าฝึกอบรมพนักงานขาย","EXPENSE","0","0","0"
"6251 • ผลประโยชน์พนักงาน","EXPENSE","0","0","0"
"6261 • ค่าพาหนะ ค่าใช้จ่ายในการเดินทาง และค่าที่พัก - พนักงานขาย","EXPENSE","0","0","0"
"6301 • ค่าโฆษณาและส่งเสริมการขาย","EXPENSE","0","0","0"
"6401 • ค่าเสื่อมราคา - เครื่องจักรและอุปกรณ์ในการดำเนินงาน","EXPENSE","0","0","0"
"6402 • ค่าเสื่อมราคา - เครื่องตกแต่งในการดำเนินงาน","EXPENSE","0","0","0"
"6411 • ค่าเสื่อมราคา - สิ่งปรับปรุงสินทรัพย์ - สาขา","EXPENSE","0","0","0"
"6412 • ค่าเสื่อมราคา - ร้านที่ให้เช่าเครื่องจักร","EXPENSE","0","0","0"
"6421 • ค่าตัดจำหน่าย","EXPENSE","0","0","0"
"6501 • ค่าวัสดุใช้สิ้นเปลือง","EXPENSE","0","0","0"
"6502 • ค่าซ่อมแซมรักษา","EXPENSE","0","0","0"
"6503 • ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการขาย","EXPENSE","0","0","0"
"6510 • ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการให้เช่าเครื่องจักร","EXPENSE","0","0","0"
"6601 • เงินเดือน และค่าจ้าง","EXPENSE","0","0","0"
"6601001 • เงินเดือน(สำนักงานใหญ่)- เงินเดือน","EXPENSE","0","0","0"
"6601002 • เงินเดือน(สำนักงานใหญ่) - ค่าทำงานล่วงเวลา","EXPENSE","0","0","0"
"6601003 • เงินเดือน(สำนักงานใหญ่)  - โบนัส","EXPENSE","0","0","0"
"6601004 • เงินเดือน(สำนักงานใหญ่)  - ผลตอบแทนจากยอดขาย","EXPENSE","0","0","0"
"6601005 • เงินเดือน(สำนักงานใหญ่)  - ค่าชดเชยเพราะเหตุออกจากงาน","EXPENSE","0","0","0"
"6601006 • ค่าจ้างแรงงาน","EXPENSE","0","0","0"
"6621 • เงินที่จ่ายสมทบเข้าประกันสังคม","EXPENSE","0","0","0"
"6631 • ค่าใช้จ่ายอื่น ๆ เกี่ยวกับพนักงานสำนักงาน","EXPENSE","0","0","0"
"6641 • ค่าฝึกอบรมพนักงานสำนักงาน","EXPENSE","0","0","0"
"6651 • ผลประโยชน์พนักงาน","EXPENSE","0","0","0"
"6661 • ค่าพาหนะ ค่าใช้จ่ายในการเดินทาง และค่าที่พัก - พนักงานสำนักงาน","EXPENSE","0","0","0"
"6701 • ค่าใช้จ่ายเกี่ยวกับรถยนต์","EXPENSE","0","0","0"
"6702 • ค่าซ่อมแซมรถยนต์","EXPENSE","0","0","0"
"6703 • ค่าเช่ารถยนต์","EXPENSE","0","0","0"
"6801 • ค่าเช่าและค่าบริการ - สำนักงาน","EXPENSE","0","0","0"
"6811 • ค่าไฟ - สำนักงาน","EXPENSE","0","0","0"
"6821 • ค่าประปา - สำนักงาน","EXPENSE","0","0","0"
"6831 • ค่าไปรษณียากร - สำนักงาน","EXPENSE","0","0","0"
"6841 • ค่าโทรศัพท์ โทรสาร - สำนักงาน","EXPENSE","0","0","0"
"6851 • ค่าซ่อมแซมและรักษา - สำนักงาน","EXPENSE","0","0","0"
"6901 • ค่าวัสดุใช้ในสำนักงาน","EXPENSE","0","0","0"
"6911 • ค่าใช้จ่ายเกี่ยวกับคอมพิวเตอร์","EXPENSE","0","0","0"
"6921 • ค่าเบี้ยประกันภัย","EXPENSE","0","0","0"
"6931 • ค่าส่งเสริมการขาย","EXPENSE","0","0","0"
"6941 • ค่าธรรมเนียมธนาคาร","EXPENSE","0","0","0"
"6951 • ค่ารับรอง","EXPENSE","0","0","0"
"6961 • ค่าภาษีธุรกิจเฉพาะ","EXPENSE","0","0","0"
"6962 • ค่าภาษีอากรอื่น ๆ","EXPENSE","0","0","0"
"6971 • ค่าการกุศลสาธารณะ","EXPENSE","0","0","0"
"6972 • รายจ่ายเพื่อการศึกษาหรือเพื่อการกีฬา","EXPENSE","0","0","0"
"6981 • ค่าใช้จ่ายอื่น ๆ เกี่ยวกับบริหาร","EXPENSE","0","0","0"
"7001 • ค่าเสื่อมราคา - อาคาร","EXPENSE","0","0","0"
"7011 • ค่าเสื่อมราคา - เครื่องใช้และอุปกรณ์สำนักงาน","EXPENSE","0","0","0"
"7012 • ค่าเสื่อมราคา - เครื่องตกแต่งในสำนักงาน","EXPENSE","0","0","0"
"7013 • ค่าเสื่อมราคา - รถยนต์","EXPENSE","0","0","0"
"7021 • ค่าเสื่อมราคา - สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่","EXPENSE","0","0","0"
"7031 • ค่าตัดจำหน่าย","EXPENSE","0","0","0"
"8001 • ค่าเบี้ยประชุมกรรมการ","EXPENSE","0","0","0"
"8011 • ค่าสอบบัญชี","EXPENSE","0","0","0"
"8021 • ค่าที่ปรึกษา","EXPENSE","0","0","0"
"8031 • ค่าใช้จ่ายอื่นๆ เกี่ยวกับการจัดตั้งบริษัท","EXPENSE","0","0","0"
"8201 • ดอกเบี้ยจ่ายแก่ธนาคาร","EXPENSE","0","0","0"
"8211 • ดอกเบี้ยจ่ายแก่บริษัทที่เกี่ยวข้องกัน","EXPENSE","0","0","0"
"8212 • ดอกเบี้ยจ่ายอื่น ๆ","EXPENSE","0","0","0"
"8401 • กำไรหรือ(ขาดทุน)จากการแลกเปลี่ยนเงินตราต่างประเทศ","EXPENSE","0","0","0"
"8402 • กำไรหรือ(ขาดทุน)จากการจำหน่ายสินทรัพย์ถาวร","EXPENSE","0","0","0"
"8403 • กำไรหรือ(ขาดทุน)จากการปิดร้านที่จำหน่ายสินค้า","EXPENSE","0","0","0"
"8501 • หนี้สูญ","EXPENSE","0","0","0"
"8601 • รายได้หรือค่าใช้จ่ายที่ไม่เกี่ยวกับการบริหาร","EXPENSE","0","0","0"
"9001 • ค่าภาษีเงินได้นิติบุคคล","EXPENSE","0","0","0"
"9101 • รายการพิเศษ","EXPENSE","0","0","0"
"TOTAL","","220","220","0"
"","","Status","","Balanced"
